CSFSP80053Index,CSFSubcategoryID,SP80053ControlDetailID
530,DE.CM-3,AU-12 (3)
531,DE.CM-3,AU-12a
532,DE.CM-3,AU-12b
533,DE.CM-3,AU-12c
534,DE.CM-3,AU-13
535,DE.CM-3,AU-13 (1)
536,DE.CM-3,AU-13 (2)
538,DE.CM-3,CA-7 (1)
539,DE.CM-3,CA-7 (3)
540,DE.CM-3,CA-7a
541,DE.CM-3,CA-7b
542,DE.CM-3,CA-7c
543,DE.CM-3,CA-7d
544,DE.CM-3,CA-7e
545,DE.CM-3,CA-7f
546,DE.CM-3,CA-7g
548,DE.CM-3,CM-10 (1)
549,DE.CM-3,CM-10a
550,DE.CM-3,CM-10b
551,DE.CM-3,CM-10c
553,DE.CM-3,CM-11 (1)
554,DE.CM-3,CM-11 (2)
555,DE.CM-3,CM-11a
556,DE.CM-3,CM-11b
557,DE.CM-3,CM-11c
559,DE.CM-4,SI-3 (1)
560,DE.CM-4,SI-3 (10)(a)
561,DE.CM-4,SI-3 (10)(b)
562,DE.CM-4,SI-3 (2)
563,DE.CM-4,SI-3 (4)
564,DE.CM-4,SI-3 (6)(a)
565,DE.CM-4,SI-3 (6)(b)
566,DE.CM-4,SI-3 (7)
567,DE.CM-4,SI-3 (8)
568,DE.CM-4,SI-3 (9)
569,DE.CM-4,SI-3a
570,DE.CM-4,SI-3b
571,DE.CM-4,SI-3c.1
572,DE.CM-4,SI-3c.2
573,DE.CM-4,SI-3d
575,DE.CM-4,SI-8 (1)
576,DE.CM-4,SI-8 (2)
577,DE.CM-4,SI-8 (3)
578,DE.CM-4,SI-8a
579,DE.CM-4,SI-8b
581,DE.CM-5,SC-18 (1)
582,DE.CM-5,SC-18 (2)
583,DE.CM-5,SC-18 (3)
584,DE.CM-5,SC-18 (4)
585,DE.CM-5,SC-18 (5)
586,DE.CM-5,SC-18a
587,DE.CM-5,SC-18b
588,DE.CM-5,SC-18c
589,DE.CM-5,SC-44
591,DE.CM-5,SI-4 (1)
592,DE.CM-5,SI-4 (10)
593,DE.CM-5,SI-4 (11)
594,DE.CM-5,SI-4 (12)
595,DE.CM-5,SI-4 (13)(a)
596,DE.CM-5,SI-4 (13)(b)
597,DE.CM-5,SI-4 (13)(c)
598,DE.CM-5,SI-4 (14)
599,DE.CM-5,SI-4 (15)
600,DE.CM-5,SI-4 (16)
601,DE.CM-5,SI-4 (17)
602,DE.CM-5,SI-4 (18)
603,DE.CM-5,SI-4 (19)
604,DE.CM-5,SI-4 (2)
